hubspot_id,state,office_level,office_type,candidate_office,election_date,is_uncontested,viability_score,general_election_result,general_votes_received,total_general_votes_cast
28522596762,Oklahoma,LOCAL,School Board,Lane Elementary School Board,2025-04-01,UnContested,4.9800000000,Won General,null,null
29498365592,Illinois,LOCAL,School Board,Schaumburg Community Consolidated 54 School Board,2025-04-01,Contested,4.3200000000,Won General,7327.0000000000,33987.0000000000
34741755170,Texas,LOCAL,School Board,Red Lick Independent School Board,2025-11-04,UnContested,3.6500000000,Lost General,109.0000000000,263.0000000000
29560926293,Wisconsin,LOCAL,Clerk/Treasurer,Oconto County: Underhill Town Clerk,2025-04-01,UnContested,4.9900000000,Won General,null,null
29645657518,Illinois,CITY,Mayor,Dawson Village President,2025-04-01,UnContested,4.9900000000,Won General,null,null
29354286247,Missouri,CITY,City Council,Ballwin City Council - Ward 2,2025-04-08,Contested,1.7200000000,Lost General,459.0000000000,1049.0000000000
29201084550,Wisconsin,LOCAL,School Board,La Crosse School Board,2025-04-01,Contested,1.2000000000,Lost General,6131.0000000000,52870.0000000000
35424553378,Washington,CITY,City Council,Snohomish City Council - Position 6,2025-11-04,Contested,0.9900000000,Won General,1309.0000000000,2380.0000000000
27991886657,Illinois,LOCAL,School Board,Worth 127 School Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
28670619976,Illinois,LOCAL,School Board,Palos Community Consolidated 118 School Board,2025-04-01,Contested,2.6900000000,Won General,2496.0000000000,11910.0000000000
28960766050,Illinois,CITY,Town Council,McLean County: Saybrook Village Board ,2025-04-01,Contested,1.3700000000,Lost General,40.0000000000,339.0000000000
34694088728,Ohio,TOWNSHIP,Town Council,Delaware County: Delaware Township Trustee,2025-11-04,UnContested,3.0700000000,Won General,null,null
30316118105,Illinois,LOCAL,Town Council,Kendall County: Little Rock Township Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
31019707790,Illinois,LOCAL,Town Council,Whiteside County: Prophetstown Township Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
31473025311,Wisconsin,LOCAL,City Council,Chippewa County: Lafayette Town Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
30303024712,Illinois,CITY,City Council,Troy City Council - Ward 1,2025-04-01,UnContested,4.9900000000,Won General,null,null
28713476710,Wisconsin,LOCAL,School Board,Wisconsin Rapids School Board,2025-04-01,Contested,3.8100000000,Won General,6482.0000000000,19223.0000000000
30082300456,Illinois,CITY,City Council,Highland Park City Council,2025-04-01,Contested,3.0500000000,Lost General,2377.0000000000,5404.0000000000
29634245999,Illinois,LOCAL,Town Council,Kane County: Big Rock Township Supervisor,2025-04-01,UnContested,4.9900000000,Won General,null,null
30784799264,Illinois,LOCAL,Other,Oglesby Public Library District Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
29811773357,Wisconsin,CITY,City Council,Edgerton City Council - District 1,2025-04-01,UnContested,4.9900000000,Won General,null,null
30927753998,Wisconsin,CITY,Town Council,Oconomowoc Lake Village Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
28306816889,Illinois,CITY,Mayor,Wilsonville President,2025-04-09,Contested,0.7500000000,Lost General,null,null
30770106128,Illinois,CITY,Mayor,Lebanon City Mayor,2025-04-01,Contested,1.3800000000,Lost General,64.0000000000,754.0000000000
35135016794,Ohio,REGIONAL,School Board,Miami County Educational Service Center Board,2025-11-04,UnContested,2.8800000000,Not on Ballot,null,null
31017509474,Illinois,LOCAL,School Board,Johnsburg 12 School Board,2025-04-01,Contested,2.6900000000,Lost General,983.0000000000,6078.0000000000
27985139507,Oklahoma,LOCAL,School Board,Oklahoma City School Board - Chair,2025-04-01,Contested,1.5800000000,Lost General,221.0000000000,486.0000000000
32534323588,Washington,CITY,City Council,Moses Lake City Council - Position 4,2025-11-04,Contested,1.6200000000,Lost General,null,null
29720314188,Illinois,LOCAL,Town Council,Madison County: Nameoki Township Supervisor,2025-04-01,Contested,3.8800000000,Won General,530.0000000000,845.0000000000
35133003648,Ohio,LOCAL,School Board,Berne Union Local School Board,2025-11-04,UnContested,2.8800000000,Not on Ballot,null,null
30795320142,Illinois,Local,School Board,School Board,2025-04-01,UnContested,4.9900000000,Won General,null,null
19532405282,WI,County,Other,Supervisor,null,UnContested,3.5600000000,Lost General,null,null
29329896993,Illinois,LOCAL,School Board,Pekin 108 School Board,2025-04-01,Contested,3.8700000000,Lost General,1627.0000000000,9524.0000000000
29213116245,Illinois,LOCAL,School Board,Illini Central 189 School Board,2025-04-01,Contested,0.9500000000,Lost General,124.0000000000,2718.0000000000
31516047763,Wisconsin,LOCAL,Clerk/Treasurer,Fond du Lac County: Forest Town Clerk,2025-04-01,UnContested,5.0000000000,Won General,null,null
27885458613,Illinois,LOCAL,School Board,Riley School District 18,2025-04-01,UnContested,5.0000000000,Won General,null,null
31471626267,Wisconsin,CITY,Town Council,Baldwin Village Board,2025-04-01,Contested,4.3400000000,Won General,790.0000000000,2662.0000000000
30937254068,Wisconsin,CITY,City Council,De Pere City Council - District 1,2025-04-01,UnContested,5.0000000000,Won General,null,null
28919751227,Illinois,Local,Utilities Commissioner,Itasca Library Board Trustee,2025-04-01,UnContested,5.0000000000,Won General,null,null
29258069256,Illinois,LOCAL,Utilities Commissioner,East Dundee & Countryside Fire District Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
34812107270,Ohio,CITY,Town Council,Middleport Village Council,2025-11-04,UnContested,3.0700000000,Not on Ballot,null,null
31202222451,Illinois,LOCAL,Other,Chatham Area Library District Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
30444873136,Wisconsin,LOCAL,School Board,Stevens Point Area School Board,2025-04-01,Contested,1.4500000000,Won General,9077.0000000000,53898.0000000000
35449105992,Georgia,LOCAL,School Board,Calhoun City School Board - Post 1,2025-11-04,UnContested,3.4900000000,Won General,null,null
31993985707,Texas,LOCAL,School Board,Vega Independent School Board,2025-05-03,UnContested,4.0000000000,Not on Ballot,null,null
30370089268,Illinois,LOCAL,Town Council,Sangamon County: Illiopolis Township Clerk,2025-04-01,Contested,2.0300000000,Lost General,34.0000000000,269.0000000000
30466654332,Illinois,LOCAL,School Board,Illini Bluffs 327 School Board,2025-04-01,Contested,4.3200000000,Won General,380.0000000000,1352.0000000000
31398940519,Illinois,LOCAL,School Board,Murphysboro 186 School Board - Remaining Congressional Townships,2025-04-01,Contested,1.2000000000,Lost General,185.0000000000,832.0000000000
28176594740,Illinois,LOCAL,School Board,Thornton 154 School Board,2025-04-01,Contested,1.5200000000,Lost General,1708.0000000000,35867.0000000000
28005523254,Oklahoma,CITY,City Council,Bethany City Council - Ward 3,2025-04-01,Contested,3.4800000000,Lost General,297.0000000000,624.0000000000
31385458272,Illinois,LOCAL,Other,Cass County: Hagener Township Highway Commission,2025-04-01,Contested,1.9100000000,Lost General,82.0000000000,166.0000000000
35674087224,Ohio,CITY,City Council,Marysville City Council - At Large,2025-11-04,UnContested,2.6000000000,Not on Ballot,null,null
31028257064,Illinois,LOCAL,Clerk/Treasurer,Cook County: Palos Township Clerk,2025-04-01,UnContested,5.0000000000,Won General,null,null
29820636269,Wisconsin,LOCAL,Clerk/Treasurer,Brown County: Holland Town Chair,2025-04-01,Contested,3.6000000000,Won General,468.0000000000,731.0000000000
33803544435,Ohio,LOCAL,Town Council,Fayette County: Union Township Trustee,2025-11-04,UnContested,3.0600000000,Won General,null,null
28935178037,Illinois,LOCAL,Town Council,St. Clair County: Sugar Loaf Township Board,2025-04-01,Contested,3.6600000000,Won General,338.0000000000,1869.0000000000
28597136726,Florida,CITY,City Council,Palm Beach Gardens City Council - Group 4,2025-03-11,Contested,2.2300000000,Won General,2711.0000000000,4900.0000000000
29131328830,Illinois,LOCAL,School Board,Community Consolidated 15 School Board,2025-04-01,Contested,3.5200000000,Lost General,5626.0000000000,33386.0000000000
30684369577,Illinois,LOCAL,Utilities Commissioner,Fremont Public Library District Board,2025-04-01,Contested,3.5800000000,Lost General,1706.0000000000,11251.0000000000
34636612444,Ohio,CITY,Town Council,Glenwillow Village Council - Ward 2,2025-11-04,UnContested,2.5900000000,Won General,10.0000000000,30.0000000000
29163172008,Illinois,Local,School Board,Sunnybrook School District 171,2025-04-01,Contested,1.2600000000,Lost General,226.0000000000,3429.0000000000
35155508779,Ohio,TOWNSHIP,Town Council,Coshocton County: White Eyes Township Trustee,2025-11-04,UnContested,3.0700000000,Won General,null,null
28870978632,Oklahoma,LOCAL,School Board,Fargo-Gage School Board - Office 1,2025-04-01,Contested,5.0000000000,Won General,null,null
34120588399,Washington,CITY,Mayor,Milton City Council - Position 2,2025-11-04,Contested,1.0300000000,Won General,null,null
34730291849,Washington,CITY,City Council,Pateros City Council - Position 2,2025-11-04,UnContested,4.9900000000,Won General,null,null
30745638967,Wisconsin,CITY,City Council,Evansville City Council - District 4,2025-04-01,UnContested,3.6100000000,Won General,null,null
30111369805,Illinois,LOCAL,School Board,Kirby 140 School Board,2025-04-01,Contested,2.8700000000,Won General,3170.0000000000,19360.0000000000
29721195562,Wisconsin,CITY,City Council,Racine City Council - District 7,2025-04-01,UnContested,5.0000000000,Won General,null,null
34695167839,Washington,LOCAL,Other,King County Public Hospital District 2 Board - Position 5,2025-11-04,Contested,2.7900000000,Won General,null,null
30770102630,Oklahoma,LOCAL,School Board,Frontier School Board,2025-04-01,Contested,1.5800000000,Lost General,22.0000000000,212.0000000000
28768333648,Illinois,LOCAL,School Board,Morris School Board 101,2025-04-01,Contested,1.2600000000,Lost General,825.0000000000,8745.0000000000
31164963399,Illinois,CITY,Clerk/Treasurer,Hometown City Clerk,2025-04-01,Contested,2.6300000000,Lost General,208.0000000000,706.0000000000
30785026891,Illinois,Local,School Board,school board,2025-04-01,Contested,2.4200000000,Won General,305.0000000000,1792.0000000000
35424553378,Washington,CITY,City Council,Snohomish City Council - Position 6,2025-11-04,Contested,0.9900000000,Won General,1309.0000000000,2380.0000000000
28103439382,Illinois,LOCAL,School Board,Edwardsville 7 School Board,2025-04-01,Contested,3.0000000000,Lost General,1927.0000000000,17227.0000000000
29992742204,Wisconsin,LOCAL,School Board,Wauwatosa School Board - Seat 7,2025-04-01,Contested,3.7400000000,Won General,10724.0000000000,19871.0000000000
29578599515,Florida,CITY,City Council,Fort Walton Beach City Council,2025-03-11,Contested,0.8800000000,Lost General,null,null
31386255435,Illinois,LOCAL,Town Council,Carroll County: Elkhorn Grove Township Supervisor,2025-04-01,UnContested,5.0000000000,Won General,null,null
31085411094,Illinois,LOCAL,School Board,North Boone 200 School Board,2025-04-01,Contested,4.3200000000,Lost General,464.0000000000,4005.0000000000
33266162957,New York,LOCAL,School Board,Rush-Henrietta School Board,2025-05-20,UnContested,5.0000000000,Won General,1989.0000000000,3696.0000000000
28187800464,Oklahoma,CITY,City Council,Bethany City Council - Ward 2,2025-04-01,UnContested,2.3000000000,Won General,null,null
35160243265,Michigan,CITY,Clerk/Treasurer,Detroit City Clerk,2025-11-04,UnContested,2.1200000000,Not on Ballot,null,null
30830060054,Illinois,LOCAL,School Board,Central 301 School Board,2025-04-01,Contested,1.0800000000,Won General,1197.0000000000,9163.0000000000
28596352163,Illinois,CITY,Town Council,East Dundee Village President,2025-04-01,UnContested,4.9900000000,Won General,445.0000000000,1378.0000000000
29394505043,Wisconsin,CITY,Town Council,Town Board,2025-04-01,Contested,3.9000000000,Won General,1139.0000000000,3667.0000000000
33753651846,Ohio,CITY,Town Council,Marblehead Village Council,2025-11-04,UnContested,3.0700000000,Won General,null,null
29641580312,Florida,CITY,Mayor,Belleair Bluffs City Mayor,2025-03-11,UnContested,4.9900000000,Won General,null,null
31415212040,Illinois,LOCAL,Other,Waynesville Library District Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
30959770019,Illinois,CITY,Town Council,Flossmoor Village Council,2025-04-01,Contested,1.3700000000,Lost General,556.0000000000,8189.0000000000
28594378548,Oklahoma,LOCAL,School Board,Coyle School Board,2025-04-01,Contested,3.5800000000,Lost General,80.0000000000,204.0000000000
31125342253,Illinois,LOCAL,Town Council,Grundy County: Highland Township Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
28315993136,Oklahoma,LOCAL,School Board,Mounds School Board,2025-04-01,UnContested,3.5800000000,Won General,null,null
29977398582,Wisconsin,CITY,City Council,Delafield City Council - District 1,2025-04-01,UnContested,5.0000000000,Won General,null,null
29550792289,Illinois,LOCAL,Town Council,Lake County: Warren Township Council,2025-04-01,UnContested,5.0000000000,Won General,null,null
31411389246,Wisconsin,CITY,Town Council,Elderon Village Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
29350269736,Wisconsin,CITY,Mayor,Lena Village President,2025-04-01,UnContested,5.0000000000,Won General,null,null
31959096678,Texas,CITY,City Council,Kermit City Council - District 1,2025-05-03,UnContested,5.0000000000,Won General,null,null
31402658390,Illinois,CITY,Mayor,Maywood Village President,2025-04-01,Contested,2.9000000000,Won General,1270.0000000000,2019.0000000000
31263086517,Illinois,LOCAL,Other,Carroll County: Wysox Township Highway Commissioner,2025-04-01,UnContested,5.0000000000,Won General,null,null
34285382928,Washington,CITY,City Council,Lynnwood City Council - Position 3,2025-11-04,Contested,1.0300000000,Won General,4266.0000000000,8147.0000000000
29292943409,Illinois,LOCAL,Clerk/Treasurer,Lake County: Zion Township Assessor,2025-04-01,UnContested,5.0000000000,Won General,null,null
27987662696,Illinois,LOCAL,School Board,Argo 217 School Board,2025-04-01,Contested,3.8700000000,Lost General,789.0000000000,4410.0000000000
33787187510,Ohio,LOCAL,Town Council,Morgan County: Center Township Trustee,2025-11-04,UnContested,3.0600000000,Won General,80.0000000000,226.0000000000
31275662152,Illinois,LOCAL,School Board,Grant Park 6 School Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
38286002027,Washington,LOCAL,School Board,Central Kitsap District 401 School Board - District 1,2025-11-04,Contested,2.8600000000,Won General,10348.0000000000,16504.0000000000
30312236086,Wisconsin,LOCAL,School Board,Fort Atkinson School Board,2025-04-01,Contested,5.0000000000,Won General,3667.0000000000,8783.0000000000
29669517471,Illinois,LOCAL,School Board,Avoca 37 School Board,2025-04-01,Contested,3.8700000000,Won General,675.0000000000,2782.0000000000
33753970768,Iowa,LOCAL,School Board,Mason City Community School Board,2025-11-04,UnContested,4.1800000000,Won General,null,null
31033781035,Illinois,CITY,Town Council,Kildeer Village Council,2025-04-01,UnContested,5.0000000000,Won General,null,null
29691986475,Illinois,LOCAL,Clerk/Treasurer,Madison County: Nameoki Township Clerk,2025-04-01,Contested,1.6800000000,Lost General,339.0000000000,827.0000000000
31205413489,Illinois,CITY,Mayor,Olympia Fields Village President,2025-04-01,Contested,2.5200000000,Lost General,575.0000000000,1327.0000000000
30726836868,Illinois,CITY,Town Council,Hampshire Village Council,2025-04-01,Contested,2.8300000000,Won General,678.0000000000,2716.0000000000
28361626215,Illinois,LOCAL,School Board,Plainfield 202 School Board,2025-04-01,Contested,2.4200000000,Won General,null,null
33887884580,Ohio,LOCAL,School Board,Jackson City School Board,2025-11-04,UnContested,2.8800000000,Won General,null,null
28244770820,Illinois,LOCAL,School Board,Darien 61 School Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
30729137557,Washington,CITY,Mayor,Sumas City Mayor,2025-11-04,UnContested,2.1200000000,Won General,null,null
34630388870,Kansas,LOCAL,School Board,"Buhler USD 313 School Board - District 2, Position 5",2025-11-04,UnContested,4.9900000000,Won General,null,null
33696853578,Ohio,LOCAL,Town Council,Meigs County: Chester Township Trustee,2025-11-04,UnContested,3.0600000000,Not on Ballot,null,null
30429619367,Illinois,Local,Utilities Commissioner,Park Board,2025-04-01,Contested,3.9200000000,Won General,12639.0000000000,71137.0000000000
33759370616,Ohio,LOCAL,Town Council,Defiance County: Delaware Township Trustee,2025-11-04,UnContested,3.0600000000,Won General,null,null
34369779119,Idaho,LOCAL,School Board,Genesee School Board - Zone 5,2025-11-04,UnContested,2.6400000000,Won General,null,null
33383140966,Kansas,LOCAL,School Board,Russell County USD 407 School Board - Position 4,2025-11-04,UnContested,3.1100000000,Won General,886.0000000000,3354.0000000000
28745012879,Illinois,LOCAL,School Board,Prairieview-Ogden Consolidated 197 School Board,2025-04-01,UnContested,3.5800000000,Won General,null,null
29345221643,Missouri,CITY,Town Council,Grantwood Village Trustee,2025-04-08,Contested,4.2900000000,Lost General,null,null
