hubspot_id,state,office_level,office_type,candidate_office,election_date,is_uncontested,viability_score,general_election_result,general_votes_received,total_general_votes_cast
33469965334,Kansas,LOCAL,School Board,Oskaloosa Public USD 341 School Board - Position 4,2025-11-04,UnContested,2.6300000000,Won General,null,null
28168054379,Illinois,CITY,City Council,St. Charles City Council - Ward 3,2025-04-01,Contested,3.0500000000,Lost General,483.0000000000,1405.0000000000
29837355067,Illinois,LOCAL,Town Council,Madison County: Collinsville Township Board,2025-04-01,Contested,4.3700000000,Won General,2949.0000000000,14592.0000000000
38286123665,Florida,CITY,Mayor,Seminole City Mayor,2025-11-04,Contested,1.2400000000,Lost General,1400.0000000000,3225.0000000000
29499139896,Illinois,LOCAL,School Board,Wauconda 118 School Board,2025-04-01,Contested,3.2400000000,Won General,1316.0000000000,9983.0000000000
31465546503,Wisconsin,CITY,City Council,Manitowoc City Council - District 1,2025-04-01,Contested,3.6500000000,Lost General,473.0000000000,973.0000000000
28320617014,Illinois,CITY,Mayor,Aurora City Mayor,2025-04-01,Contested,0.5000000000,Won General,9944.0000000000,18725.0000000000
28680942971,Illinois,CITY,Town Council,Northbrook Village Board,2025-04-01,Contested,2.5600000000,Lost General,3394.0000000000,22937.0000000000
29558471003,Oklahoma,LOCAL,School Board,Bridge Creek School Board,2025-04-01,UnContested,3.6100000000,Won General,null,null
28594805255,Illinois,LOCAL,Utilities Commissioner,Indian Trails Library District Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
29331801872,Illinois,LOCAL,Town Council,Lake County: Warren Township Council,2025-04-01,UnContested,5.0000000000,Won General,null,null
28302637117,Oklahoma,LOCAL,School Board,Carnegie School Board - Office 5,2025-04-01,UnContested,5.0000000000,Won General,null,null
30142468191,Illinois,LOCAL,School Board,Antioch 34 School Board,2025-04-01,Contested,3.8700000000,Lost General,1257.0000000000,8194.0000000000
29903449107,Illinois,CITY,Town Council,Hazel Crest Village Council,2025-04-01,Contested,1.1600000000,Lost General,214.0000000000,5087.0000000000
31317013833,Wisconsin,LOCAL,Clerk/Treasurer,Columbia County: Springvale Town Clerk,2025-04-01,UnContested,5.0000000000,Won General,null,null
28181128312,Oklahoma,LOCAL,School Board,Hammon School Board,2025-04-01,Contested,3.5800000000,Lost General,50.0000000000,138.0000000000
23023901484,North Carolina,CITY,Town Council,Carrboro Town Council,2025-11-04,Contested,3.9600000000,Not on Ballot,null,null
28318339123,Oklahoma,LOCAL,School Board,Hooker School Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
29361722166,Illinois,CITY,City Council,Evanston City Council - Ward 4,2025-04-01,UnContested,3.7200000000,Won General,null,null
30756491313,Illinois,LOCAL,Town Council,Will County: Lockport Township Council,2025-04-01,Contested,2.9000000000,Lost General,2761.0000000000,21890.0000000000
30681677876,Illinois,LOCAL,School Board,Aurora East 131 School Board,2025-04-01,Contested,0.9500000000,Lost General,724.0000000000,9715.0000000000
29570072755,Wisconsin,LOCAL,Clerk/Treasurer,Brown County: Glenmore Town Clerk,2025-04-01,Contested,3.6000000000,Lost General,212.0000000000,563.0000000000
29857948473,Illinois,LOCAL,School Board,PORTA 202 School Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
30445675379,Wisconsin,CITY,Town Council,East Troy Village Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
38286124681,Massachusetts,CITY,City Council,Quincy City Council - Ward 6,2027-11-02,UnContested,0.8100000000,Won General,1748.0000000000,2954.0000000000
30799175342,Illinois,Local,Town Council,Township Board,2025-04-01,Contested,2.8000000000,Won General,351.0000000000,1651.0000000000
30278142998,Arkansas,LOCAL,School Board,Conway School Board - Zone 3,2026-05-26,UnContested,2.0500000000,Lost General,251.0000000000,5322.0000000000
31878520462,Texas,LOCAL,Other,Graham Independent School Board - Place 4,2025-05-03,UnContested,5.0000000000,Won General,null,null
28935178037,Illinois,LOCAL,Town Council,St. Clair County: Sugar Loaf Township Board,2025-04-01,Contested,3.6600000000,Won General,338.0000000000,1869.0000000000
34717748862,Pennsylvania,CITY,City Council,Arona Borough Council,2025-11-04,UnContested,1.6000000000,Lost General,null,null
28249532757,Illinois,CITY,Mayor,Fox Lake Village President,2025-04-01,Contested,3.6000000000,Won General,1160.0000000000,1589.0000000000
31033781035,Illinois,CITY,Town Council,Kildeer Village Council,2025-04-01,UnContested,5.0000000000,Won General,null,null
35411560455,Pennsylvania,CITY,City Council,East Bangor Borough Council,2025-11-04,UnContested,0.5600000000,Won General,null,null
31252550426,Wisconsin,LOCAL,School Board,Elmbrook School Board - At Large,2025-04-01,Contested,2.7100000000,Won General,11402.0000000000,22310.0000000000
28286737488,Illinois,LOCAL,School Board,Glencoe 35 School Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
34108594310,Kansas,LOCAL,School Board,Holcomb USD 363 School Board - Position 5,2025-11-04,UnContested,2.8300000000,Lost General,160.0000000000,462.0000000000
31136011015,Wisconsin,Local,Clerk/Treasurer,Town Chair,2025-04-01,UnContested,5.0000000000,Won General,null,null
28699845992,Oklahoma,LOCAL,School Board,Hartshorne School Board,2025-04-01,UnContested,4.9900000000,Won General,null,null
31480292151,Wisconsin,LOCAL,City Council,Manitowoc County: Liberty Town Chair,2025-04-01,UnContested,5.0000000000,Won General,null,null
31453494814,Wisconsin,CITY,City Council,Hudson City Council - District 6,2025-04-01,UnContested,5.0000000000,Won General,null,null
29672843104,Illinois,CITY,City Council,Collinsville City Council,2025-04-01,Contested,1.8100000000,Lost General,1297.0000000000,5203.0000000000
31023866494,Illinois,LOCAL,Town Council,Kane County: Blackberry Township Council,2025-04-01,UnContested,5.0000000000,Won General,null,null
29309763742,California,CITY,Mayor,Redondo Beach City Mayor,2025-03-04,Contested,1.8700000000,Won General,5928.0000000000,9981.0000000000
34990519913,Ohio,CITY,Town Council,Lower Salem Village Council,2025-11-04,UnContested,3.0700000000,Won General,null,null
34747238800,North Carolina,CITY,Mayor,Hoffman Town Mayor,2025-11-04,UnContested,2.9400000000,Won General,null,null
28634623259,Illinois,LOCAL,School Board,Meridian 223 School Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
28140944504,Illinois,LOCAL,Utilities Commissioner,Huntley Area Library District Board,2025-04-01,UnContested,5.0000000000,Won General,null,null
