hubspot_id,election_date,state,office_level,office_type,n_outreach_rows,viability_score_mean,viability_score_max,latest_outreach,Win,most_common_outreach_type
23497135713,2024-11-05,Virginia,FEDERAL,Congressional,1,0.13000000000000,0.1300000000,null,0,null
39096697130,2025-11-04,Texas,CITY,City Council,1,1.83000000000000,1.8300000000,null,0,null
42886808145,2025-11-04,Iowa,CITY,null,1,3.44000000000000,3.4400000000,null,1,null
36730241538,2025-08-26,Alabama,CITY,City Council,1,1.72000000000000,1.7200000000,null,0,null
39618269251,2025-11-04,Virginia,CITY,Town Council,1,null,null,null,0,null
30770102901,2024-11-05,Minnesota,CITY,City Council,1,4.16000000000000,4.1600000000,null,0,null
30536171620,2025-04-01,Illinois,LOCAL,School Board,1,4.32000000000000,4.3200000000,null,1,null
40980515331,2025-11-04,Michigan,CITY,City Council,1,null,null,null,1,null
25138485531,2024-11-05,California,CITY,City Council,1,0.94000000000000,0.9400000000,null,1,null
35849613217,2025-11-04,Kansas,CITY,Mayor,1,0.80000000000000,0.8000000000,null,1,null
35910591083,2025-11-04,Kansas,LOCAL,School Board,1,1.22000000000000,1.2200000000,null,1,null
29292410734,2025-04-01,Oklahoma,LOCAL,School Board,1,3.58000000000000,3.5800000000,null,1,null
36322642720,2025-11-04,Washington,LOCAL,Other,1,2.79000000000000,2.7900000000,null,1,null
41095514398,2025-11-04,Pennsylvania,TOWNSHIP,null,1,null,null,null,0,null
23611250826,2024-11-05,Florida,Local,Other,1,null,null,null,1,null
22488680607,2024-11-05,Kentucky,LOCAL,Utilities Commissioner,1,4.99000000000000,4.9900000000,null,0,null
38806793010,2025-10-07,Alaska,COUNTY,City Council,1,1.76000000000000,1.7600000000,null,1,null
23575265716,2024-11-05,Texas,CITY,Mayor,1,5.00000000000000,5.0000000000,null,1,null
36305841059,2025-11-04,Ohio,TOWNSHIP,Town Council,1,3.07000000000000,3.0700000000,null,1,null
35780844887,2025-11-04,Washington,LOCAL,School Board,1,2.67000000000000,2.6700000000,null,1,null
23060377122,2024-11-05,Minnesota,CITY,Mayor,1,1.68000000000000,1.6800000000,null,1,null
22725806099,2024-11-05,New Jersey,LOCAL,Town Council,1,null,null,null,1,null
22740419456,2024-11-05,Nebraska,LOCAL,School Board,1,3.35000000000000,3.3500000000,null,0,null
31278805635,2025-04-01,Illinois,LOCAL,Other,1,5.00000000000000,5.0000000000,null,1,null
32625675594,2025-05-03,Texas,CITY,City Council,1,2.40000000000000,2.4000000000,null,0,null
23617687111,2024-11-05,California,LOCAL,School Board,1,3.60000000000000,3.6000000000,null,0,null
23386242124,2024-11-05,Minnesota,LOCAL,School Board,1,4.06000000000000,4.0600000000,null,1,null
42722877047,2025-11-04,Washington,CITY,null,1,null,null,null,1,null
36625325852,2025-11-04,Colorado,CITY,City Council,1,1.33000000000000,1.3300000000,null,0,null
35556146284,2025-11-04,Pennsylvania,TOWNSHIP,null,1,0.51000000000000,0.5100000000,null,0,null
35243414193,2025-11-04,Utah,CITY,City Council,1,1.44000000000000,1.4400000000,null,1,null
23315313227,2024-11-05,California,LOCAL,School Board,1,5.00000000000000,5.0000000000,null,1,null
31544941230,2025-11-04,Pennsylvania,CITY,null,1,0.32000000000000,0.3200000000,null,1,null
36061173347,2025-11-04,Washington,LOCAL,Other,1,1.32000000000000,1.3200000000,null,0,null
38398031492,2025-11-04,Massachusetts,CITY,City Council,1,2.02000000000000,2.0200000000,null,0,null
43744745534,2025-11-04,Ohio,CITY,null,1,null,null,null,1,null
39624093071,2025-11-04,South Carolina,CITY,City Council,1,1.76000000000000,1.7600000000,null,0,null
30350420088,2025-04-01,Illinois,LOCAL,Utilities Commissioner,1,2.86000000000000,2.8600000000,null,1,null
40267547260,2025-11-04,Ohio,TOWNSHIP,Town Council,1,null,null,null,1,null
31847576217,2025-05-03,Texas,LOCAL,School Board,1,1.77000000000000,1.7700000000,null,0,null
35275789071,2025-08-05,Washington,County,County Supervisor,1,0.79000000000000,0.7900000000,null,1,null
38992059220,2025-11-04,Georgia,Local,City Council,1,3.24000000000000,3.2400000000,null,1,null
33511037740,2025-05-20,New York,LOCAL,School Board,1,5.00000000000000,5.0000000000,null,1,null
22397589896,2024-11-05,Wyoming,CITY,City Council,1,1.72000000000000,1.7200000000,null,0,null
39215332624,2025-11-04,South Carolina,CITY,Town Council,1,3.74000000000000,3.7400000000,null,1,null
