hubspot_id,election_date,state,office_level,office_type,open_seat,incumbent,number_of_opponents,partisan_type,seats_available,n_outreach_rows,viability_score_mean,viability_score_max,latest_outreach,Win,most_common_outreach_type
38614894862,2025-11-04,Ohio,LOCAL,School Board,1,0,5,Nonpartisan,3.0000000000,1,1.24000000000000,1.2400000000,null,0,null
38111346250,2025-11-04,North Carolina,CITY,Town Council,1,0,4,Nonpartisan,3.0000000000,1,2.56000000000000,2.5600000000,null,0,null
35220696614,2025-11-04,Washington,LOCAL,School Board,0,0,1,Nonpartisan,1.0000000000,1,1.06000000000000,1.0600000000,2025-10-04T07:00:00.000,0,text
22426888100,2024-11-05,South Dakota,LOCAL,Other,0,1,1,Nonpartisan,2.0000000000,1,5.00000000000000,5.0000000000,null,1,null
28288136840,2025-04-01,Illinois,LOCAL,School Board,0,1,5,Nonpartisan,4.0000000000,1,3.87000000000000,3.8700000000,null,1,null
40062473392,2025-11-04,New Jersey,LOCAL,School Board,0,0,null,null,null,1,null,null,null,1,null
31658341487,2025-04-01,Illinois,CITY,Clerk/Treasurer,0,0,1,Nonpartisan,1.0000000000,1,1.70000000000000,1.7000000000,null,1,null
23233240966,2024-11-05,Tennessee,CITY,City Council,0,0,1,Nonpartisan,1.0000000000,1,1.53000000000000,1.5300000000,null,1,null
33679280969,2025-11-04,Iowa,LOCAL,School Board,0,1,3,Nonpartisan,3.0000000000,1,4.18000000000000,4.1800000000,null,1,null
22776657283,2024-11-05,Minnesota,LOCAL,School Board,1,0,2,Nonpartisan,3.0000000000,1,5.00000000000000,5.0000000000,null,1,null
36730085993,2025-11-04,Massachusetts,Local,City Council,1,0,null,Nonpartisan,1.0000000000,1,1.57000000000000,1.5700000000,null,0,null
41224836668,2025-11-04,Ohio,TOWNSHIP,Town Council,0,1,null,null,2.0000000000,1,null,null,null,1,null
39411890317,2025-11-04,South Carolina,CITY,Mayor,1,0,null,Nonpartisan,1.0000000000,1,1.52000000000000,1.5200000000,null,1,null
