hubspot_id,state,viability_score,candidate_office,official_office_name,office_level,office_type,election_date,general_election_result,general_votes_received,total_general_votes_cast,is_uncontested,outreach_id,campaign_id,outreach_name,outreach_title,script,outreach_status,outreach_type,outreach_date,message,phone_list_id,audience_request,voter_file_filter_id,outreach_created_at,outreach_updated_at
50389592099,Texas,null,Houston City Mayor,null,CITY,Mayor,2027-11-02,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
49589731742,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
49087205139,Illinois,null,Illinois Governor,null,STATE,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
47415135027,California,null,Claremont City Council - District 4,null,CITY,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
20641508435,Oregon,0.2300000000,Oregon House of Representatives - District 3,null,STATE,State Senate,2026-11-03,Not on Ballot,107.0000000000,73333.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
36394274057,California,1.8300000000,Pomona City Council - District 5,null,CITY,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
45068524149,Indiana,null,Southwest School Board - District 5,null,LOCAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
47257653057,New York,null,U.S. House of Representatives - New York 22nd Congressional District,null,FEDERAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
47347828227,Utah,null,U.S. House of Representatives - Utah 2nd Congressional District,null,FEDERAL,null,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
50204665676,California,null,Los Angeles County Assessor,null,COUNTY,Other,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
50195189683,Wisconsin,null,Lake Geneva City Mayor,Lake Geneva City Mayor,CITY,null,2026-04-07,null,null,null,Contested,null,null,null,null,null,null,null,null,null,null,null,null,null,null
37067190114,Oklahoma,0.5400000000,Lawton City Council - Ward 4,null,CITY,City Council,2025-11-18,Runoff,247.0000000000,562.0000000000,null,12740,85301,,null,"Hi, this is Tiffiney Dimery, your candidate for Lawton City Council - Ward 4. Election day is September 9, 025. My commitment is to serve the community with dedication and transparency.
Every vote counts, and I appreciate your consideration, and I am eager to represent you I on the Lawton City Council.
Thank you for your support. I look forward to serving you.
",pending,text,2025-09-08T05:00:00.000,,null,null,16801,2025-08-21T04:24:53.309,2025-08-21T04:24:53.309
26906657124,Pennsylvania,1.0200000000,West Mifflin Borough Mayor,null,CITY,Mayor,2025-11-04,Not on Ballot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
49447071580,Wisconsin,null,Waukesha County: Merton Town Supervisor - Seat 4,null,TOWNSHIP,Town Council,2026-04-07,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
49296213919,Ohio,null,Ohio House of Representatives - District 82,null,STATE,State House,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
35483375966,Utah,0.8200000000,Syracuse City Mayor,null,CITY,Mayor,2025-11-04,Lost General,1931.0000000000,6325.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
50178105696,District Of Columbia,null,District of Columbia Council - At Large - Special Election,null,null,City Council,2026-06-16,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
50340092774,Alabama,null,Baldwin County Commission - District 3,null,COUNTY,County Supervisor,2026-11-03,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
37079667023,Utah,0.3400000000,St. George City Mayor,St. George City Mayor,CITY,Mayor,2025-11-04,Not on Ballot,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
44423971714,California,null,Laguna Niguel City Council,null,CITY,null,2024-11-05,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
19599799900,New Jersey,2.0100000000,Essex County: Montclair Township Council - Ward 3,null,LOCAL,Town Council,2024-11-05,Lost General,201.0000000000,1224.0000000000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
21115190787,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
20555507479,South Carolina,null,Elloree town council,null,Local,Town Council,2024-05-06,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
21218944176,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
21597971287,Arizona,5.0000000000,El Mirage City Council,null,CITY,City Council,2024-11-05,Lost General,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
