hubspot_id,election_date,state,office_level,office_type,n_outreach_rows,viability_score_mean,viability_score_max,latest_outreach,Win,proba_win,pred_win,viability_score_model,viability_bucket_model,viability_bucket_num,viability_bucket_orig,viability_bucket_orig_num,bucket_distance
36177595415,2025-11-04,Ohio,TOWNSHIP,Town Council,1,1.55,1.55,,0,0.6113091874435131,1,3.0565459372175656,Likely to Win,4,Unlikely to Win,2,2
19685625636,2024-05-04,Texas,LOCAL,School Board,1,1.61,1.61,,1,0.4782829231248338,1,2.3914146156241687,Has a Chance,3,Unlikely to Win,2,1
30482687285,2025-04-08,,LOCAL,Other,1,4.26,4.26,,1,0.7044211179466243,1,3.5221055897331217,Likely to Win,4,Frontrunner,5,1
41594421395,2025-11-04,Iowa,CITY,City Council,1,2.61,2.61,,1,0.7310403064528406,1,3.655201532264203,Likely to Win,4,Has a Chance,3,1
35707032356,2025-08-26,Alabama,CITY,,1,1.93,1.93,,0,0.14572185130323909,0,0.7286092565161955,No Chance,1,Unlikely to Win,2,1
25002398831,2024-11-05,Ohio,STATE,School Board,1,4.98,4.98,,1,0.13000612014589844,0,0.6500306007294921,No Chance,1,Frontrunner,5,4
22431906063,2024-11-05,Minnesota,CITY,City Council,1,3.88,3.88,,0,0.6049752054574098,1,3.024876027287049,Likely to Win,4,Likely to Win,4,0
20320479265,2024-05-04,Texas,Local,Mayor,1,,,,0,0.4289186881189592,0,2.144593440594796,Has a Chance,3,,0,3
23524013918,2024-11-05,Wyoming,County,School Board,1,,,,1,0.3903408300242064,0,1.951704150121032,Unlikely to Win,2,,0,2
22863410062,2024-11-05,Minnesota,CITY,Mayor,1,3.45,3.45,,1,0.5369652204054627,1,2.6848261020273134,Has a Chance,3,Likely to Win,4,1
38829615775,2025-11-04,Ohio,LOCAL,School Board,1,,,,0,0.6191152090567045,1,3.095576045283522,Likely to Win,4,,0,4
30952795423,2025-06-03,Mississippi,CITY,Mayor,1,0.64,0.64,,0,0.20313481711632092,0,1.0156740855816047,Unlikely to Win,2,No Chance,1,1
23708535598,2024-11-05,Minnesota,CITY,City Council,1,3.31,3.31,,1,0.6262384450400722,1,3.131192225200361,Likely to Win,4,Likely to Win,4,0
31332692083,2025-11-04,New Jersey,STATE,,1,0.5,0.5,,0,0.025001038188245818,0,0.12500519094122908,No Chance,1,No Chance,1,0
20979857945,2024-11-05,,Local,City Council,1,,,,1,0.44954438708649924,0,2.247721935432496,Has a Chance,3,,0,3
37989387934,2025-11-04,Kansas,CITY,City Council,1,2.84,2.84,,1,0.5634385811928209,1,2.817192905964104,Has a Chance,3,Has a Chance,3,0
22205803188,2024-11-05,Indiana,LOCAL,School Board,1,,,,0,0.5305264411775193,1,2.652632205887597,Has a Chance,3,,0,3
35591718674,2025-11-04,Washington,LOCAL,School Board,1,2.67,2.67,,1,0.569975738957097,1,2.8498786947854846,Has a Chance,3,Has a Chance,3,0
23629939341,2024-11-05,Oregon,CITY,City Council,1,2.43,2.43,,1,0.5201273803187035,1,2.600636901593518,Has a Chance,3,Has a Chance,3,0
21117041935,2024-11-05,California,COUNTY,Sheriff,1,1.31,1.31,,0,0.2955610003865363,0,1.4778050019326816,Unlikely to Win,2,Unlikely to Win,2,0
