hubspot_id,state,office_level,office_type,n_outreach_rows,Win,most_common_outreach_type,election_month,is_midterm,is_presidential,days_between_outreach_and_election,is_normal_election,election_dow_mon,election_dow_tue,election_dow_wed,election_dow_thu,election_dow_fri,election_dow_sat,election_dow_sun
22086367085,Michigan,LOCAL,School Board,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
21964798804,Florida,LOCAL,Other,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
33149292710,Oregon,LOCAL,Other,1,1,,5.0,0,0,99999,0,0,1,0,0,0,0,0
36953073544,Florida,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
30304776236,,Local,Mayor,1,1,,3.0,0,0,99999,0,0,1,0,0,0,0,0
33609257563,South Carolina,LOCAL,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
39142128166,Washington,LOCAL,School Board,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
40634137895,Georgia,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
22376729230,Indiana,LOCAL,School Board,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
30693369200,Florida,CITY,Mayor,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
19659823648,Texas,CITY,City Council,1,0,,5.0,0,1,99999,0,0,0,0,0,0,1,0
39130795120,Alaska,COUNTY,Mayor,1,1,,10.0,0,0,99999,0,0,1,0,0,0,0,0
35502387357,Washington,,,1,0,,8.0,0,0,99999,0,0,0,0,0,0,0,1
39697152801,Missouri,City,Mayor,1,0,,11.0,0,0,99999,0,1,0,0,0,0,0,0
43705184581,New Hampshire,,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
38727186844,New Jersey,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
31387484593,Alabama,CITY,City Council,1,0,text,8.0,0,0,-1,0,0,1,0,0,0,0,0
32141170044,Oregon,LOCAL,Other,1,1,,5.0,0,0,99999,0,0,1,0,0,0,0,0
25348397108,Minnesota,LOCAL,Utilities Commissioner,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
35447371374,Washington,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
22149260062,Alabama,CITY,Mayor,1,0,,8.0,0,0,99999,0,0,1,0,0,0,0,0
39266162601,New York,TOWNSHIP,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
35452964245,Washington,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
36953458614,Alabama,Local,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
19685576520,Arizona,STATE,State House,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
30397153537,Illinois,CITY,Mayor,1,0,,4.0,0,0,99999,0,0,1,0,0,0,0,0
35832049033,Washington,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
22026534225,Tennessee,CITY,Town Council,1,0,,8.0,0,1,99999,0,0,0,0,1,0,0,0
22866889532,Minnesota,CITY,Mayor,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
31843761572,Texas,LOCAL,School Board,1,0,,5.0,0,0,99999,0,0,0,0,0,0,1,0
35567508260,Utah,CITY,Mayor,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
21520329775,Tennessee,COUNTY,School Board,1,0,,8.0,0,1,99999,0,0,0,0,1,0,0,0
42356104367,Iowa,Local,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
39171987804,Virginia,Local,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
33008761996,Massachusetts,CITY,Town Council,1,0,,5.0,0,0,99999,0,0,1,0,0,0,0,0
23797291289,Minnesota,CITY,Mayor,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
35252187206,Alabama,CITY,City Council,1,1,,8.0,0,0,99999,0,0,1,0,0,0,0,0
37602319913,North Carolina,CITY,Town Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23611984454,Minnesota,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
21841902185,Arizona,CITY,City Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
34725081661,New York,LOCAL,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
38679676471,Ohio,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
33687530065,Georgia,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
25024390481,California,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
21525576577,Tennessee,LOCAL,School Board,1,0,,8.0,0,1,99999,0,0,0,0,1,0,0,0
21803998893,Arizona,LOCAL,School Board,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
19255045027,Florida,STATE,State Senate,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
36991939681,Washington,Local,Other,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
33796357890,Iowa,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
31658341487,Illinois,CITY,Clerk/Treasurer,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
21944057973,Florida,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
33678507413,Idaho,LOCAL,School Board,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
17700560761,Ohio,Local,,1,1,,,0,0,99999,0,0,0,0,0,0,0,0
31428686434,Minnesota,CITY,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
38890108589,Michigan,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
21943420292,Missouri,COUNTY,,1,0,,4.0,0,0,99999,0,0,1,0,0,0,0,0
36776619334,Alabama,CITY,City Council,1,0,,8.0,0,0,99999,0,0,1,0,0,0,0,0
38503668482,Alaska,CITY,City Council,1,1,,10.0,0,0,99999,0,0,1,0,0,0,0,0
22310660909,North Carolina,CITY,Town Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
39744313173,Idaho,CITY,Mayor,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
36556677466,Alabama,CITY,City Council,1,1,,8.0,0,0,99999,0,0,1,0,0,0,0,0
35242011690,Maryland,,,1,0,,6.0,0,0,99999,0,0,0,0,0,0,1,0
17251135529,Virginia,FEDERAL,Congressional,1,0,,11.0,1,0,99999,1,0,1,0,0,0,0,0
41604744114,Iowa,CITY,Mayor,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
46857163324,Connecticut,City,,1,0,,5.0,0,0,99999,0,1,0,0,0,0,0,0
38576475677,,CITY,,1,0,,,0,0,99999,0,0,0,0,0,0,0,0
37490702682,Montana,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
38496401758,North Carolina,CITY,Town Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
43714290500,North Carolina,CITY,,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
29591187776,Wisconsin,CITY,City Council,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
25111799634,North Carolina,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
39206328465,Massachusetts,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
39615597468,Ohio,LOCAL,School Board,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23449912217,Arkansas,CITY,City Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
35666322224,,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
30152951864,Ohio,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
20929013157,California,CITY,City Council,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
23407981940,Nebraska,LOCAL,Utilities Commissioner,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
38548920944,Ohio,CITY,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23939947183,Texas,CITY,City Council,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
22795885999,Florida,CITY,Mayor,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
31032838476,Missouri,LOCAL,School Board,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
23915320352,Florida,LOCAL,Other,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
30457036804,Illinois,CITY,Town Council,1,0,,4.0,0,0,99999,0,0,1,0,0,0,0,0
40200785710,South Carolina,CITY,Town Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
31762513272,Missouri,LOCAL,School Board,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
39368074122,South Carolina,CITY,Mayor,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
42410856587,Iowa,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
23241366577,California,CITY,Mayor,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
39645221921,New Mexico,Local,Town Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
34668353028,Ohio,CITY,,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
22328954544,Rhode Island,CITY,City Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
39328930137,Ohio,CITY,City Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
30543172698,Texas,LOCAL,School Board,1,0,,5.0,0,0,99999,0,0,0,0,0,0,1,0
23469263742,Oregon,CITY,City Council,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
19216395306,Georgia,STATE,State Senate,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
32903802774,Texas,CITY,City Council,1,1,,5.0,0,0,99999,0,0,0,0,0,0,1,0
23657766055,Iowa,COUNTY,Utilities Commissioner,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
23555466843,Michigan,LOCAL,School Board,1,1,,11.0,0,1,99999,1,0,1,0,0,0,0,0
37913101672,Kentucky,,,1,0,,11.0,0,0,99999,0,0,0,1,0,0,0,0
23141169844,Minnesota,CITY,City Council,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
46757569645,Wisconsin,LOCAL,,1,0,,4.0,1,0,99999,0,0,1,0,0,0,0,0
36382533380,Kansas,LOCAL,School Board,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
42432116850,Ohio,CITY,Town Council,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
41928587816,Iowa,CITY,City Council,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
32576020088,Maine,CITY,Town Council,1,0,,6.0,0,0,99999,0,0,1,0,0,0,0,0
31409182825,Wisconsin,LOCAL,Town Council,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
32580474535,Oregon,LOCAL,School Board,1,0,,5.0,0,0,99999,0,0,1,0,0,0,0,0
31623740035,Wisconsin,LOCAL,Town Council,1,1,,4.0,0,0,99999,0,0,1,0,0,0,0,0
23318728465,Virginia,LOCAL,School Board,1,0,,11.0,0,1,99999,1,0,1,0,0,0,0,0
35242131553,New York,CITY,,1,0,,11.0,0,0,99999,1,0,1,0,0,0,0,0
41628415826,Iowa,LOCAL,School Board,1,1,,11.0,0,0,99999,1,0,1,0,0,0,0,0
