state,office_type,n_outreach_rows,Win,most_common_outreach_type,election_month,is_midterm,is_presidential,days_between_outreach_and_election,is_normal_election,election_dow_mon,election_dow_tue,election_dow_wed,election_dow_thu,election_dow_fri,election_dow_sat,election_dow_sun,office_level_clean
Kansas,School Board,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Virginia,,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,state
Alabama,City Council,1,0,,8,0,0,99999,0,0,1,0,0,0,0,0,local
New York,,1,0,,6,0,0,99999,0,0,1,0,0,0,0,0,other
Ohio,Town Council,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Washington,Mayor,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,local
California,School Board,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Colorado,School Board,1,0,,4,0,0,99999,0,0,1,0,0,0,0,0,local
Alabama,,1,0,,8,0,0,99999,0,0,1,0,0,0,0,0,local
Oregon,School Board,1,1,,5,0,0,99999,0,0,1,0,0,0,0,0,local
Iowa,City Council,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Utah,Mayor,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Ohio,School Board,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,local
New Mexico,School Board,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
California,City Council,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
South Dakota,Other,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
California,City Council,1,0,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Colorado,School Board,1,1,,11,0,0,99999,0,1,0,0,0,0,0,0,local
Michigan,Mayor,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Minnesota,School Board,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Colorado,School Board,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Georgia,Mayor,1,0,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Alabama,City Council,1,0,,9,0,0,99999,0,0,1,0,0,0,0,0,other
Iowa,City Council,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Massachusetts,School Board,1,0,,5,0,0,99999,0,0,1,0,0,0,0,0,local
,Town Council,1,1,,4,0,0,99999,0,0,1,0,0,0,0,0,local
Texas,City Council,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Indiana,School Board,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Indiana,School Board,1,0,,11,0,1,99999,1,0,1,0,0,0,0,0,local
New Mexico,City Council,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Illinois,Other,1,0,,4,0,0,99999,0,0,1,0,0,0,0,0,local
Idaho,Other,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
California,City Council,1,0,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Oregon,Other,1,1,,5,0,0,99999,0,0,1,0,0,0,0,0,local
Michigan,School Board,1,0,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Oregon,Other,1,1,,5,0,0,99999,0,0,1,0,0,0,0,0,local
New Hampshire,City Council,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Virginia,School Board,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
New Jersey,Other,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Kansas,City Council,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Wisconsin,,1,0,,4,0,0,99999,0,0,1,0,0,0,0,0,local
Massachusetts,Town Council,1,0,,4,0,0,99999,0,0,0,0,0,0,1,0,local
Oregon,Other,1,1,,11,1,0,99999,1,0,1,0,0,0,0,0,local
Michigan,School Board,1,0,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Oregon,City Council,1,0,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Kentucky,City Council,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Ohio,School Board,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,other
,School Board,1,0,,4,0,0,99999,0,0,1,0,0,0,0,0,local
Alaska,City Council,1,0,,10,0,0,99999,0,0,1,0,0,0,0,0,local
Ohio,Town Council,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Ohio,City Council,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
North Carolina,City Council,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Oregon,Utilities Commissioner,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Utah,School Board,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,other
,School Board,1,0,,5,0,0,99999,0,0,1,0,0,0,0,0,local
Ohio,Town Council,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Washington,,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Ohio,Town Council,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
North Carolina,City Council,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,local
California,School Board,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Minnesota,City Council,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
California,School Board,1,0,,11,0,1,99999,1,0,1,0,0,0,0,0,local
New Jersey,School Board,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
New Jersey,,1,0,,11,1,0,99999,1,0,1,0,0,0,0,0,local
Kansas,City Council,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Minnesota,City Council,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Massachusetts,City Council,1,1,,11,0,0,99999,1,0,1,0,0,0,0,0,local
Massachusetts,School Board,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Utah,Mayor,1,0,,11,0,0,99999,1,0,1,0,0,0,0,0,local
District Of Columbia,City Council,1,1,,11,0,1,99999,1,0,1,0,0,0,0,0,local
Iowa,County Supervisor,1,0,,11,0,1,99999,1,0,1,0,0,0,0,0,local
